 cpt#    psproj# nr.coll energy       directional cosines x,y,z                        emission site x,y,z
                         (eV)                                                          (Angs)
   1         325    3    0.2373E+03  -0.52128285E+00  0.67796618E+00  0.51829141E+00  -0.236013E+01  0.789877E+01  0.441049E+01
   1         328    5    0.1298E+03  -0.85273683E+00  0.23187813E+00  0.46805158E+00  -0.268241E+01  0.422575E+01  0.415535E+01
   1         334    8    0.1545E+03  -0.48681942E+00  0.87114602E+00 -0.64119682E-01  -0.282837E+01  0.179977E+02 -0.756741E+01
   1         339   11    0.8002E+02  -0.93463004E+00 -0.18026759E+00 -0.30654553E+00  -0.254038E+00  0.154767E+02 -0.142652E+00
   1         343   21    0.1363E+03  -0.66970640E+00  0.50357366E+00 -0.54580843E+00  -0.131148E+01  0.171090E+02 -0.251602E+02
   1         345    9    0.2111E+03  -0.88167804E+00  0.13437517E+00  0.45231313E+00  -0.650840E+00 -0.114731E+02  0.248774E+00
   1         346    7    0.2589E+03  -0.88647091E+00 -0.45683637E+00  0.73957816E-01  -0.220572E+01 -0.892070E+01 -0.652326E+01
   1         347    3    0.1964E+03  -0.45032978E+00  0.87204123E+00 -0.19169521E+00  -0.210520E+01  0.881134E+01 -0.282439E+01
   1         353   11    0.1930E+02  -0.88182712E+00 -0.36521730E+00 -0.29832393E+00  -0.219629E+01 -0.201349E+01  0.115102E+02
   1         356    4    0.2712E+03  -0.59172595E+00 -0.23596060E+00  0.77083260E+00  -0.224107E+01 -0.683271E+01  0.114389E+02
   1         357    6    0.2443E+03  -0.68149561E+00  0.60162210E+00  0.41667089E+00  -0.232016E+01  0.907550E+01  0.126664E+02
   1         358   11    0.5365E+02  -0.98951143E+00 -0.11402544E+00  0.88685900E-01  -0.266711E+01 -0.791951E+01  0.484771E+01
   1         362    3    0.2735E+03  -0.53449929E+00  0.36235049E+00 -0.76355267E+00  -0.186017E+01  0.396634E+01 -0.567115E+01
   1         364   24    0.2964E+02  -0.93536621E+00  0.19864137E+00  0.29262844E+00  -0.231527E+01  0.151381E+02  0.942983E+01
   1         375    4    0.7569E+02  -0.75559419E+00  0.65081120E+00 -0.74310474E-01  -0.195210E+01  0.210235E+01 -0.492603E+01
   1         380    2    0.1838E+03  -0.82079840E+00 -0.42873904E+00  0.37745553E+00  -0.179237E+01 -0.293362E+01  0.160533E+00
   1         383   16    0.4168E+02  -0.50208026E+00 -0.82913029E+00  0.24588236E+00  -0.208423E+01 -0.264407E+02  0.180389E+02
   1         386   10    0.8738E+02  -0.80654848E+00 -0.12713188E+00 -0.57733607E+00  -0.217038E+01 -0.269628E+01 -0.343928E+01
   1         387   10    0.1918E+03  -0.93373525E+00  0.21325858E+00 -0.28750494E+00  -0.807932E+00  0.121168E+02 -0.447491E+00
   1         393    3    0.1896E+03  -0.35717136E+00 -0.93108946E+00  0.74167959E-01  -0.229546E+01 -0.107007E+02 -0.212443E+01
   1         394   11    0.3475E+02  -0.99660969E+00  0.63766100E-01  0.51990636E-01  -0.454923E+00  0.670420E+01  0.607355E+01
   1         409    7    0.6441E+02  -0.66935408E+00  0.17927060E+00 -0.72099030E+00  -0.181890E+01 -0.142498E+01 -0.115684E+02
   1         413    5    0.2670E+03  -0.97147787E+00  0.20426762E+00  0.12043847E+00  -0.217567E+01  0.527414E+01 -0.472166E+01
   1         419   15    0.5010E+02  -0.36472282E+00 -0.87704676E+00  0.31267574E+00  -0.233023E+01  0.606083E+01  0.709347E+00
   1         421   15    0.1785E+03  -0.91302067E+00 -0.25400418E+00 -0.31917897E+00  -0.257683E+01 -0.162387E+02 -0.167665E+02
   1         427    7    0.2032E+03  -0.64006239E+00  0.55220520E+00  0.53421867E+00  -0.135850E+01  0.112797E+02  0.251097E+01
   1         430    8    0.9018E+02  -0.86377358E+00 -0.17063379E+00 -0.47410893E+00  -0.200254E+01 -0.191258E+01 -0.471663E+01
   1         432    3    0.2191E+03  -0.85611379E+00 -0.49004322E+00 -0.16409408E+00  -0.180834E+01 -0.422130E+01  0.109541E+01
   1         434    7    0.8256E+02  -0.52607894E+00  0.58672339E+00  0.61562687E+00  -0.278855E+01  0.928975E+01  0.599856E+01
   1         435    9    0.1337E+03  -0.83253217E+00 -0.35421646E+00  0.42593518E+00  -0.124596E+01 -0.506632E+01  0.136348E+02
   1         436    6    0.1529E+03  -0.97306681E+00  0.65930329E-01 -0.22089387E+00  -0.276579E+00  0.742732E+01 -0.326155E+00
   1         438   12    0.6863E+02  -0.89427698E+00  0.24248847E+00  0.37612236E+00  -0.867852E+00 -0.836916E+01  0.102297E+02
   1         449    3    0.1227E+03  -0.98672116E+00 -0.30113865E-01  0.15960716E+00  -0.254927E+01 -0.431082E+01 -0.458153E+00
   1         452    5    0.1378E+03  -0.99651873E+00 -0.73039301E-01  0.40194742E-01  -0.231118E+01 -0.307988E+01 -0.300792E+01
   1         458   15    0.1022E+03  -0.88706279E+00 -0.19632210E+00  0.41782415E+00  -0.168752E+01  0.191347E+02  0.343653E+01
   1         464    6    0.7874E+02  -0.64850748E+00 -0.76018196E+00  0.39514367E-01  -0.254981E+01 -0.204597E+00 -0.591915E+01
   1         467    6    0.2579E+03  -0.46789163E+00 -0.86129713E+00 -0.19810277E+00  -0.282384E+01 -0.188154E+02  0.281246E+00
   1         476    5    0.2554E+03  -0.57453436E+00 -0.78803688E+00 -0.22115162E+00  -0.277012E+01 -0.111541E+02 -0.381322E+01
   1         480    8    0.5468E+02  -0.98070377E+00 -0.51752295E-01 -0.18852513E+00  -0.187851E+00  0.753726E+01  0.169877E+01
   1         481   18    0.7195E+02  -0.99438703E+00 -0.93950152E-01 -0.48659448E-01  -0.278691E+01  0.179860E+02  0.113276E+02
   1         494   12    0.5206E+02  -0.83014208E+00 -0.55619967E+00 -0.38808972E-01  -0.940012E+00 -0.100882E+02 -0.242282E+01
   1         495    7    0.1884E+03  -0.48323920E+00 -0.77725434E+00  0.40293360E+00  -0.166182E+01 -0.119906E+02 -0.347519E+01
   1         496    2    0.3212E+03  -0.37918729E+00  0.56109879E-01 -0.92361701E+00  -0.250071E+01  0.801511E+00 -0.938218E+01
   1         497    3    0.2909E+03  -0.60258752E+00  0.59324926E+00 -0.53380090E+00  -0.167120E+01  0.531312E+01 -0.328629E+01
   1         499    2    0.2348E+03  -0.77555221E+00  0.52910405E+00  0.34433666E+00  -0.263333E+01  0.453401E+01  0.299006E+01
   1         502    2    0.2878E+03  -0.70305759E+00  0.57568860E+00 -0.41748336E+00  -0.191001E+01  0.334869E+01 -0.241453E+01
   1         503   15    0.1117E+02  -0.58214682E+00  0.16698562E-01  0.81291223E+00  -0.199655E+01  0.150661E+02  0.325586E+01
   1         504   16    0.1904E+02  -0.82077217E+00  0.30891591E+00 -0.48052463E+00  -0.249019E+01 -0.141862E+02 -0.113245E+02
   1         506   12    0.7186E+02  -0.43911031E+00  0.69924456E+00  0.56412667E+00  -0.263704E+01 -0.107109E+02  0.400261E+01
   1         514   12    0.5135E+02  -0.99749655E+00  0.25407458E-01  0.65992944E-01  -0.210051E+01  0.676741E+01  0.176252E+01
   1         519    2    0.1793E+03  -0.56167454E+00 -0.81074923E+00 -0.16494620E+00  -0.185518E+01 -0.440719E+01 -0.610358E+00
   1         520    4    0.2035E+03  -0.93580902E+00 -0.34939122E+00 -0.46767175E-01  -0.150873E+01 -0.470315E+01  0.124223E+00
   1         524    2    0.2413E+03  -0.61864793E+00 -0.35988337E+00 -0.69839704E+00  -0.191598E+01 -0.696645E+00 -0.400636E+01
   1         525   10    0.1416E+03  -0.78769702E+00 -0.55947429E+00 -0.25791845E+00  -0.202398E+01 -0.189891E+00  0.120694E+02
   1         530    9    0.1899E+03  -0.87008393E+00  0.38677981E+00 -0.30554107E+00  -0.201454E+01  0.494880E+01  0.146751E+02
   1         532    7    0.2356E+03  -0.97660947E+00 -0.34560159E-01 -0.21222493E+00  -0.199014E+01  0.666875E+01 -0.320556E+01
   1         533   15    0.4517E+02  -0.90026861E+00  0.53664763E-01  0.43201426E+00  -0.259099E+01  0.337744E+01  0.233027E+02
   1         541    9    0.3136E+02  -0.95350444E+00 -0.11962839E+00  0.27661923E+00  -0.176826E+01 -0.133045E+02 -0.559917E+00
   1         545    2    0.2933E+03  -0.58592910E+00 -0.74084812E+00 -0.32837650E+00  -0.245451E+01 -0.532706E+01 -0.315114E+01
   1         560    9    0.1396E+03  -0.80211729E+00 -0.54763740E+00  0.23812003E+00  -0.138511E+01  0.462426E+01  0.721376E+01
   1         565    8    0.7001E+02  -0.53431690E+00 -0.83947343E+00  0.98942898E-01  -0.222016E+01 -0.520393E+01  0.635576E+01
   1         568    8    0.1705E+03  -0.61876267E+00  0.21848187E+00  0.75458485E+00  -0.218590E+01  0.899219E+01  0.906464E+01
   1         569    7    0.4542E+02  -0.87624967E+00  0.36039650E+00 -0.31984493E+00  -0.137206E+01  0.221689E+01 -0.404495E+01
   1         570    7    0.2400E+03  -0.57245040E+00  0.47767016E+00  0.66643202E+00  -0.144123E+01  0.264618E+01  0.152907E+02
   1         575    7    0.3320E+03  -0.95940715E+00  0.27516201E+00  0.61837576E-01  -0.249958E+01  0.118481E+02 -0.490067E+01
   1         576   12    0.4613E+02  -0.88919532E+00  0.23112357E+00  0.39485911E+00  -0.997584E+00  0.497074E+01 -0.126299E+00
   1         580    8    0.7721E+02  -0.98565161E+00 -0.16249309E+00 -0.45681331E-01  -0.421326E+00  0.181825E+01  0.470428E+01
   1         581    5    0.1640E+03  -0.99302620E+00 -0.38517792E-01 -0.11142416E+00  -0.283022E+01 -0.313614E+01 -0.554442E+01
   1         586    2    0.2026E+03  -0.52543628E+00 -0.71928531E+00 -0.45447254E+00  -0.200618E+01 -0.593853E+01 -0.300692E+01
   1         590    3    0.1907E+03  -0.93816972E+00  0.18104422E+00  0.29506007E+00  -0.163824E+01  0.500391E+00 -0.314948E+01
