 cpt#    psproj# nr.coll energy       directional cosines x,y,z                        emission site x,y,z
                         (eV)                                                          (Angs)
   1         233   22    0.4101E+03  -0.64819634E+00  0.75821656E+00 -0.70350647E-01  -0.167281E+01  0.266294E+02 -0.301489E+01
   2         236    3    0.1873E+03  -0.85807061E+00  0.25268981E+00  0.44706017E+00  -0.188832E+01 -0.849683E+01  0.408463E+01
   2         237    1    0.3151E+03  -0.31309155E+00 -0.19398941E+00 -0.92969978E+00  -0.255121E+01 -0.751159E+01 -0.890933E+01
   2         239    5    0.3583E+03  -0.35632905E+00 -0.92037958E+00 -0.16103129E+00  -0.188911E+01 -0.225254E+02 -0.651222E+01
   2         240    2    0.2986E+03  -0.46821868E+00 -0.84480900E+00 -0.25897670E+00  -0.225323E+01 -0.123413E+02 -0.168732E+01
   1         241   38    0.3496E+03  -0.78054595E+00 -0.41828811E+00 -0.46452445E+00  -0.193776E+01 -0.752815E+02 -0.269181E+01
   1         242   25    0.3766E+03  -0.93870604E+00 -0.79021081E-01  0.33553934E+00  -0.209221E+01 -0.163049E+02  0.209765E+02
   1         243  178    0.1787E+02  -0.48583537E+00  0.86411774E+00 -0.13139339E+00  -0.223027E+01  0.493739E+02  0.841935E+02
   1         244    2    0.4898E+03  -0.18802921E+00 -0.98184109E+00 -0.25159115E-01  -0.259915E+01 -0.189059E+02 -0.289861E+00
   1         246   31    0.3781E+03  -0.66840893E+00 -0.45516247E+00 -0.58826578E+00  -0.150159E+01 -0.603159E+02 -0.176919E+02
   1         247  172    0.4668E+02  -0.90209538E+00 -0.14586993E+00  0.40613517E+00  -0.247316E+01 -0.160487E+03 -0.700306E+02
   2         248    6    0.1836E+03  -0.75805700E+00 -0.23873055E+00  0.60692441E+00  -0.231553E+01 -0.161291E+02  0.666035E+01
   1         249   37    0.3632E+03  -0.75871778E+00 -0.25908557E+00 -0.59768033E+00  -0.218729E+01 -0.768036E+02  0.189352E+02
   1         250    7    0.4690E+03  -0.93751675E+00 -0.34730390E+00 -0.21028677E-01  -0.729109E+00 -0.162555E+02 -0.563504E+00
   2         251    1    0.3567E+03  -0.67505097E+00 -0.67648512E+00 -0.29440433E+00  -0.223484E+01 -0.545286E+01 -0.739353E+00
   2         255    3    0.1122E+03  -0.88083863E+00 -0.38091350E+00  0.28111976E+00  -0.218052E+01 -0.120408E+02  0.230386E+01
   2         256    2    0.4051E+03  -0.44032499E+00 -0.70503032E+00 -0.55591905E+00  -0.263528E+01 -0.128880E+02 -0.555990E+01
   2         257    5    0.1191E+03  -0.98056579E+00 -0.78315735E-01 -0.17988130E+00  -0.225424E+01 -0.117728E+02 -0.447616E+01
   1         258   93    0.1662E+03  -0.34649229E+00  0.84951544E+00 -0.39782733E+00  -0.245555E+01  0.376616E+02 -0.469977E+02
   2         259   11    0.9789E+02  -0.85186446E+00 -0.47870898E+00 -0.21251972E+00  -0.119182E+01 -0.178446E+02 -0.106449E+02
   1         260    3    0.4845E+03  -0.42766917E+00 -0.90292597E+00 -0.42704478E-01  -0.229703E+01 -0.160573E+02  0.680545E-01
   1         262   13    0.4530E+03  -0.31764826E+00 -0.91080874E+00  0.26367980E+00  -0.257505E+01 -0.418316E+02  0.949848E+01
   2         263    2    0.3303E+03  -0.85033453E+00 -0.32659745E+00  0.41263202E+00  -0.241105E+01 -0.613149E+01  0.112092E+01
   1         264  120    0.1262E+03  -0.85447079E+00  0.51254618E+00 -0.84710695E-01  -0.260706E+01 -0.285090E+02  0.137625E+02
   1         265   25    0.3934E+03  -0.60425073E+00  0.19674991E+00  0.77212077E+00  -0.210469E+01 -0.403354E+02  0.196483E+02
   1         266   21    0.4151E+03  -0.32518739E+00 -0.92952913E+00  0.17386402E+00  -0.199763E+01 -0.534544E+02 -0.562170E+00
   1         267   63    0.2596E+03  -0.70470202E+00  0.70549285E+00 -0.75330734E-01  -0.191373E+01 -0.124158E+02  0.822633E+02
   1         268   10    0.4582E+03  -0.79792053E+00 -0.39358556E+00  0.45652312E+00  -0.229637E+01 -0.238494E+02  0.480358E+01
   2         269    1    0.3837E+03  -0.15591273E+00 -0.91491032E+00 -0.37233073E+00  -0.270441E+01 -0.283596E+02 -0.100307E+02
   1         270   19    0.3982E+03  -0.69443727E+00  0.60052693E+00  0.39638898E+00  -0.142590E+01 -0.378859E+01 -0.564576E+01
   1         273   41    0.3606E+03  -0.78078014E+00 -0.60782868E+00  0.14466004E+00  -0.209719E+01 -0.573306E+02  0.374049E+02
   1         275    2    0.4715E+03  -0.81286407E+00 -0.29475972E+00  0.50236291E+00  -0.212673E+01 -0.104941E+02  0.257587E+01
   2         277    2    0.2635E+02  -0.35842305E+00  0.35643622E+00  0.86283600E+00  -0.241444E+01 -0.246382E+01  0.126941E+02
   1         279   49    0.2920E+03  -0.50507510E+00 -0.51876825E+00 -0.68976706E+00  -0.176268E+01 -0.889063E+02 -0.108488E+02
   1         281   93    0.1984E+03  -0.87692517E+00 -0.28230432E+00  0.38898149E+00  -0.220775E+01  0.208711E+02 -0.108142E+03
   1         283  106    0.1534E+03  -0.49623811E+00 -0.49172378E+00 -0.71551049E+00  -0.223259E+01 -0.401128E+02  0.858255E+02
   1         284   95    0.1580E+03  -0.20438004E+00 -0.79757005E+00 -0.56754816E+00  -0.241070E+01 -0.912972E+01  0.639294E+02
   1         285  173    0.1373E+02  -0.83151841E+00 -0.17153771E+00 -0.52834839E+00  -0.826335E+00 -0.850079E+02  0.610632E+02
   1         286   55    0.2856E+03  -0.58106816E+00  0.72890443E+00 -0.36201948E+00  -0.254115E+01 -0.559595E+02 -0.374331E+02
   1         288   30    0.3794E+03  -0.62767071E+00  0.57462001E+00 -0.52520585E+00  -0.193118E+01 -0.383815E+02 -0.244956E+02
   2         289    2    0.1870E+03  -0.96397489E+00 -0.25858554E+00 -0.62335875E-01  -0.518965E+00 -0.944184E+01 -0.795385E+00
   2         292    2    0.3992E+03  -0.43948027E+00 -0.87168163E+00 -0.21685959E+00  -0.202596E+01 -0.148896E+02 -0.348167E+01
   1         293    1    0.4881E+03  -0.26838624E+00 -0.32865033E+00 -0.90551525E+00  -0.209117E+01 -0.870147E+01 -0.871269E+01
   2         296    3    0.1272E+03  -0.42027918E+00  0.73958486E-01  0.90437573E+00  -0.171377E+01 -0.794871E+01  0.106844E+02
   1         297   48    0.3246E+03  -0.76862848E+00 -0.41519576E+00 -0.48664433E+00  -0.104214E+01 -0.943573E+02  0.718737E+01
   2         298    6    0.2402E+03  -0.93410259E+00 -0.19672897E+00 -0.29790917E+00  -0.123778E+01 -0.145747E+02 -0.774158E+01
   1         299   62    0.2638E+03  -0.90475720E+00 -0.42369843E+00 -0.43519299E-01  -0.141561E+01 -0.997175E+02 -0.355790E+02
   1         300    7    0.4683E+03  -0.68455815E+00 -0.56894946E+00  0.45571536E+00  -0.201940E+01 -0.194401E+02  0.610428E+01
   1         301   16    0.4227E+03  -0.83648741E+00 -0.42056513E+00  0.35130250E+00  -0.111636E+01 -0.285830E+02  0.979869E+01
   2         303   11    0.3461E+02  -0.69595200E+00 -0.70052725E+00  0.15783651E+00  -0.143967E+01 -0.153536E+02 -0.102689E+02
   2         305    8    0.1458E+03  -0.65089482E+00  0.73763973E+00 -0.17950882E+00  -0.213933E+01  0.780733E+01  0.973013E+01
   2         308    1    0.2445E+03  -0.62111849E+00 -0.37117010E+00 -0.69024956E+00  -0.154151E+01 -0.548973E+01 -0.165586E+01
   1         309   59    0.3043E+03  -0.89772624E+00 -0.32690209E+00 -0.29533470E+00  -0.955661E+00 -0.759859E+02 -0.467075E+02
   2         314    3    0.1779E+03  -0.74544573E+00 -0.60656410E+00  0.27638841E+00  -0.115786E+01 -0.100354E+02  0.707294E+00
   2         316   13    0.2279E+02  -0.85775989E+00 -0.49091759E+00 -0.15247256E+00  -0.221558E+01 -0.274712E+02 -0.525250E+01
   1         318    8    0.4571E+03  -0.34308299E+00 -0.16105239E+00 -0.92539519E+00  -0.245205E+01 -0.150660E+02 -0.204630E+02
   2         319    1    0.3277E+03  -0.76564413E+00 -0.56134468E+00 -0.31413537E+00  -0.183878E+01 -0.611760E+01 -0.767906E+00
