 cpt#    psproj# nr.coll deposition site x,y,z
                         (Angs)
   2         785    2    0.117033E+01 -0.583489E+01  0.155768E+01
   2         787   11    0.643249E+01 -0.226344E+01  0.296522E+00
   1         792  203    0.949664E+02 -0.987324E+02  0.103715E+03
   2         795   13    0.154528E+02 -0.468098E+01 -0.140566E+02
   2         798   16    0.901401E+01 -0.133518E+02 -0.162901E+02
   1         799  209    0.178740E+02  0.411742E+02  0.599483E+02
   1         801  217    0.106917E+03 -0.171574E+03  0.282030E+02
   1         806  225    0.552271E+02  0.913341E+01  0.123173E+03
   2         807    9    0.641163E+01 -0.160710E+02  0.374972E+01
   1         810  225    0.919313E+02 -0.135176E+03 -0.568602E+02
   1         811  234    0.255243E+02 -0.881934E+02  0.826788E+02
   2         815   11    0.255943E+01 -0.121993E+02  0.159695E+01
   2         817    8    0.452571E+01 -0.972802E+01 -0.612794E+01
   1         819  205    0.203506E+02 -0.102428E+03 -0.743306E+02
   2         823   15    0.139276E+02 -0.228914E+02 -0.493618E+01
   1         826  220    0.126786E+03 -0.103721E+03 -0.596823E+02
   2         827    8    0.214586E+01 -0.996542E+01  0.595501E+00
   1         832  222    0.120187E+03 -0.120452E+03 -0.666006E+02
   2         833    5    0.300255E+01 -0.918847E+00  0.850351E+00
   1         838  215    0.806433E+02  0.965547E+02 -0.626365E+02
   1         840  217    0.462613E+02 -0.159608E+03  0.525856E+02
   1         841  228    0.160647E+03 -0.421659E+02 -0.664576E+02
   2         847   16    0.853589E+01 -0.922973E+01 -0.295831E+01
   2         852   17    0.572135E+01 -0.118948E+02  0.197425E+02
   2         853    5    0.554075E+01 -0.745247E+01  0.154219E+01
   2         855   12    0.623164E+01 -0.129754E+02 -0.238540E+01
   2         856   14    0.122201E+01 -0.148772E+02  0.255105E+01
   2         859   12    0.424307E+01 -0.119564E+02  0.760372E+01
   2         862   16    0.719631E+01 -0.249825E+02  0.914014E+01
   2         864   14    0.144343E+02 -0.170432E+02 -0.120896E+02
   1         866  211    0.718613E+02  0.295283E+02 -0.169686E+02
   2         867   14    0.278819E+01 -0.222256E+02 -0.642292E+01
   1         868  218    0.818218E+02 -0.113737E+03 -0.746876E+02
   2         870    9    0.457879E+01 -0.372236E+01 -0.104540E+02
   2         871   17    0.111892E+02 -0.303916E+01  0.866566E+01
   2         872    9    0.388414E+01 -0.133341E+02 -0.631295E+01
   1         873  223    0.622928E+02 -0.266333E+02  0.110799E+03
   2         881   15    0.115216E+02  0.102696E+02  0.161615E+01
   2         890   16    0.170111E+02 -0.671735E+01  0.104434E+02
   2         892    8    0.272600E+01 -0.119646E+02 -0.317817E+01
   2         896   16    0.207146E+02 -0.241556E+02  0.179575E+01
   1         901  223    0.574898E+02  0.258446E+01 -0.656951E+02
   1         908  211    0.443143E+02 -0.195301E+03  0.444480E+02
   1         909  218    0.446989E+02 -0.669214E+02  0.539704E+02
   1         910  213    0.119738E+03 -0.974666E+01  0.147378E+02
   2         911   10    0.100367E+02 -0.832287E+01 -0.416260E+01
   2         914    8    0.122218E+02 -0.124542E+02 -0.198213E+01
   1         917  209    0.794871E+02 -0.116932E+03 -0.225013E+02
   1         919  232    0.116990E+03 -0.858066E+02 -0.108597E+03
   1         920  213    0.471962E+02 -0.714509E+02 -0.238632E+02
