 cpt#    psproj#  energy       directional cosines x,y,z
                  (eV)
   2         172  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         173  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         174  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         175  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         176  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         177  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         178  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         179  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         180  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         181  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         182  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         183  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         184  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         185  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         186  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         187  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         188  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         189  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         190  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         191  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         192  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         193  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         194  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         195  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         196  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         197  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         198  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         199  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         200  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         201  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         202  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         203  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         204  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         205  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         206  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         207  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         208  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         209  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         210  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         211  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         212  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         213  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         214  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         215  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         216  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         217  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         218  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         219  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         220  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         221  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         222  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         223  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         224  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         225  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         226  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         227  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         228  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         229  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         230  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         231  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         232  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         233  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         234  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         235  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         236  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         237  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         238  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         239  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         240  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         241  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         242  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         243  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         244  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         245  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         246  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         247  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         248  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         249  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         250  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         251  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         252  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         253  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         254  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         255  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         256  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         257  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         258  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         259  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         260  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         261  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         262  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         263  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         264  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         265  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         266  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         267  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         268  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
